,worked_during_school,computer_skills,volunteer,military,employment_holes,has_email_address,resume_quality,milvol,positive_col,avg_milwork,mltp_experspecskill
114,1,1,0,0,0,0,1,0,1,0.5,0
115,1,1,0,0,1,0,1,0,2,0.5,0
116,0,1,1,0,1,0,1,0,2,0.0,0
117,1,1,1,1,0,0,1,1,3,1.0,0
118,1,1,0,0,0,0,0,0,1,0.5,5
119,0,0,1,0,1,0,0,0,1,0.0,1
120,0,0,0,0,0,0,0,0,0,0.0,5
121,1,1,0,0,1,0,0,0,1,0.5,0
122,0,0,0,0,0,0,0,0,0,0.0,0
123,1,1,0,0,0,0,1,0,1,0.5,8
124,0,0,0,0,0,0,0,0,0,0.0,4
125,0,1,1,0,1,0,1,0,2,0.0,9
126,1,1,1,0,0,0,1,0,3,0.5,9
127,1,0,1,0,1,0,1,0,1,0.5,5
128,1,0,1,0,1,0,1,0,1,0.5,0
129,1,1,0,0,0,0,1,0,1,0.5,0
130,1,1,0,0,1,0,0,0,1,0.5,0
131,1,1,0,0,0,0,1,0,1,0.5,9
132,1,0,1,0,0,0,1,0,1,0.5,0
133,0,1,0,0,1,0,0,0,1,0.0,0
134,1,1,0,0,0,0,1,0,1,0.5,0
135,1,1,1,0,1,0,1,0,2,0.5,0
136,0,1,1,0,1,0,1,0,2,0.0,5
137,1,0,1,0,0,0,1,0,1,0.5,4
138,1,1,0,0,0,0,0,0,1,0.5,0
139,1,1,1,1,0,0,1,1,3,1.0,0
140,0,1,0,0,0,0,0,0,1,0.0,0
141,0,1,0,0,1,0,0,0,1,0.0,4
142,1,1,1,0,0,0,1,0,2,0.5,0
143,0,0,0,0,0,0,0,0,0,0.0,4
144,0,0,0,0,0,0,0,0,0,0.0,0
145,0,0,0,0,0,0,0,0,0,0.0,4
146,1,1,1,0,1,0,0,0,2,0.5,0
147,1,1,0,0,0,0,1,0,1,0.5,0
148,0,1,0,0,1,0,0,0,2,0.0,0
149,0,1,1,0,1,0,1,0,2,0.0,0
150,0,1,0,0,1,0,0,0,1,0.0,6
152,0,1,1,0,1,0,1,0,2,0.0,0
153,0,1,0,0,0,0,0,0,1,0.0,0
154,1,1,0,0,1,0,1,0,2,0.5,0
155,0,1,0,0,1,0,0,0,1,0.0,0
156,0,0,0,0,0,0,1,0,0,0.0,0
157,1,1,0,0,1,0,0,0,1,0.5,0
158,0,1,0,1,1,0,1,0,2,0.5,7
159,0,0,0,0,1,0,0,0,0,0.0,3
160,0,0,0,0,0,0,0,0,0,0.0,1
161,0,1,0,0,1,0,0,0,2,0.0,0
162,1,1,0,0,1,0,1,0,1,0.5,0
163,0,1,0,0,1,0,1,0,1,0.0,2
164,0,1,0,0,1,0,0,0,1,0.0,0
165,0,1,0,0,1,0,1,0,1,0.0,0
166,0,0,0,0,1,0,1,0,0,0.0,10
167,0,1,1,0,1,0,1,0,2,0.0,0
168,0,1,0,1,1,0,0,0,2,0.5,6
169,1,1,0,0,1,0,1,0,2,0.5,0
170,0,1,0,0,0,0,0,0,1,0.0,0
171,1,1,0,0,1,0,0,0,1,0.5,11
172,1,1,1,0,0,0,1,0,2,0.5,14
173,0,1,0,0,0,0,0,0,1,0.0,0
174,0,1,1,0,0,0,1,0,2,0.0,0
175,0,0,0,0,1,0,0,0,0,0.0,0
176,0,0,0,0,1,0,0,0,1,0.0,0
177,0,0,0,0,0,0,0,0,0,0.0,0
178,0,1,1,0,0,0,1,0,2,0.0,0
179,1,1,1,0,0,0,1,0,2,0.5,6
180,1,1,0,0,0,0,0,0,1,0.5,0
181,0,0,0,0,0,0,0,0,0,0.0,0
182,0,1,1,0,0,0,1,0,2,0.0,0
183,0,1,1,0,0,0,1,0,2,0.0,0
184,0,1,1,0,0,0,0,0,2,0.0,0
185,0,1,1,1,1,1,1,1,4,0.5,0
186,0,1,1,0,0,0,0,0,2,0.0,0
187,1,1,1,0,0,0,1,0,2,0.5,14
188,0,0,1,0,0,0,0,0,1,0.0,0
189,0,1,1,0,0,0,0,0,2,0.0,0
190,1,1,1,0,0,0,1,0,2,0.5,14
191,0,1,1,0,0,0,1,0,2,0.0,0
192,0,1,1,0,0,0,0,0,2,0.0,0
193,1,1,1,0,0,0,1,0,2,0.5,14
194,0,0,1,0,0,0,0,0,1,0.0,0
195,1,1,1,1,0,1,1,1,3,1.0,0
196,0,0,1,0,0,0,0,0,1,0.0,0
197,1,1,1,0,0,0,1,0,2,0.5,14
198,1,1,1,0,0,1,1,0,2,0.5,0
199,0,0,1,0,1,0,0,0,1,0.0,0
200,1,1,1,0,0,1,1,0,2,0.5,0
201,0,1,1,0,1,0,1,0,2,0.0,8
202,1,1,1,0,0,0,0,0,2,0.5,0
203,1,1,1,0,1,1,1,0,2,0.5,0
204,1,1,1,0,0,0,1,0,2,0.5,0
205,1,1,1,0,1,0,0,0,2,0.5,15
206,1,1,1,0,1,0,1,0,3,0.5,0
207,0,1,1,0,1,0,0,0,2,0.0,0
208,1,1,1,1,0,1,1,1,3,1.0,0
209,0,1,1,0,0,0,0,0,2,0.0,0
210,1,1,1,0,1,0,1,0,3,0.5,0
211,0,1,1,0,1,0,0,0,2,0.0,0
212,1,1,1,1,0,0,1,1,3,1.0,0
213,0,1,1,0,0,0,0,0,2,0.0,0
214,0,0,1,0,0,0,0,0,1,0.0,0
216,0,1,1,0,0,0,0,0,2,0.0,3
217,0,1,1,0,0,0,1,0,2,0.0,4
218,0,0,0,0,0,0,0,0,0,0.0,4
219,0,0,0,0,1,0,0,0,0,0.0,0
220,0,1,0,1,1,0,1,0,2,0.5,11
221,0,1,0,0,1,0,0,0,1,0.0,0
222,1,1,0,0,0,0,0,0,1,0.5,0
223,1,1,1,0,0,1,1,0,2,0.5,0
224,0,1,0,0,1,0,0,0,1,0.0,0
225,1,1,0,0,0,1,1,0,1,0.5,0
226,0,1,1,0,1,1,1,0,2,0.0,6
227,1,1,0,0,1,0,0,0,1,0.5,0
228,0,1,0,0,1,0,0,0,1,0.0,0
229,1,1,1,0,0,0,1,0,2,0.5,0
230,0,1,0,0,1,0,0,0,1,0.0,0
231,1,1,0,0,1,0,1,0,1,0.5,0
232,1,1,0,0,0,0,1,0,1,0.5,6
233,1,1,0,0,0,0,0,0,1,0.5,0
234,1,1,0,0,0,0,0,0,1,0.5,0
235,1,1,1,0,0,0,1,0,2,0.5,0
236,1,1,0,0,0,0,0,0,1,0.5,0
237,0,1,0,0,1,0,0,0,1,0.0,0
238,0,1,0,0,1,0,0,0,1,0.0,0
239,0,1,0,0,0,0,0,0,1,0.0,5
240,0,1,0,1,1,0,1,0,2,0.5,4
241,1,1,0,0,1,0,1,0,2,0.5,0
242,1,1,1,0,0,0,1,0,2,0.5,5
243,0,0,0,0,1,0,0,0,0,0.0,7
244,1,0,0,0,1,0,0,0,0,0.5,9
245,1,1,1,0,0,0,1,0,2,0.5,7
246,1,1,0,0,0,0,0,0,1,0.5,0
247,1,1,0,0,0,0,1,0,1,0.5,10
248,0,1,0,0,1,0,0,0,2,0.0,0
249,1,1,1,0,0,0,1,0,2,0.5,0
250,0,1,0,0,0,0,1,0,1,0.0,0
251,1,1,1,0,1,0,1,0,2,0.5,0
252,0,1,0,0,1,0,0,0,1,0.0,0
253,0,1,0,0,1,0,0,0,1,0.0,0
254,1,1,1,0,1,0,1,0,2,0.5,4
255,0,1,0,0,1,0,0,0,1,0.0,0
256,0,1,0,0,0,0,0,0,1,0.0,0
257,1,1,0,0,0,0,1,0,1,0.5,4
258,1,1,1,0,1,0,1,0,2,0.5,0
259,0,1,0,0,1,0,0,0,1,0.0,3
260,0,1,0,0,0,0,0,0,1,0.0,0
261,1,1,0,0,0,0,1,0,1,0.5,4
262,0,1,0,0,0,0,0,0,1,0.0,0
263,1,1,1,0,1,0,0,0,2,0.5,5
264,1,1,0,0,0,0,0,0,1,0.5,0
265,0,1,0,0,0,0,0,0,1,0.0,0
266,0,1,1,0,1,0,1,0,2,0.0,6
267,1,0,1,0,0,0,1,0,1,0.5,4
268,1,0,1,0,0,0,1,0,1,0.5,0
269,1,1,1,0,1,0,1,0,2,0.5,0
270,1,1,1,0,0,0,1,0,2,0.5,0
271,1,1,1,0,1,0,1,0,2,0.5,0
272,0,1,0,0,0,0,0,0,1,0.0,0
274,1,0,1,0,0,0,1,0,1,0.5,4
275,1,1,0,0,0,0,0,0,1,0.5,0
276,1,1,1,0,1,0,1,0,2,0.5,0
277,0,1,1,0,1,0,1,0,2,0.0,4
278,1,1,1,0,0,0,1,0,2,0.5,0
279,0,1,0,0,0,0,0,0,1,0.0,0
280,1,1,0,0,0,0,0,0,1,0.5,0
281,1,0,0,0,0,0,1,0,0,0.5,7
282,0,1,0,0,1,0,0,0,1,0.0,0
283,0,0,0,0,0,0,0,0,0,0.0,6
285,0,0,0,0,0,0,0,0,1,0.0,6
286,1,1,0,0,0,0,0,0,1,0.5,0
287,1,1,1,0,0,0,1,0,2,0.5,0
288,1,1,0,0,0,0,0,0,1,0.5,0
289,1,1,1,0,0,0,1,0,2,0.5,0
290,0,0,0,0,1,0,0,0,0,0.0,0
291,1,1,1,0,0,0,0,0,2,0.5,0
292,0,0,0,0,0,0,0,0,1,0.0,6
293,1,1,0,0,0,0,1,0,1,0.5,7
294,0,1,0,0,1,0,0,0,1,0.0,6
295,1,1,0,0,0,0,1,0,1,0.5,5
296,1,1,1,0,0,0,0,0,2,0.5,0
297,1,1,0,0,0,0,1,0,1,0.5,7
298,0,1,0,0,1,0,0,0,1,0.0,8
299,1,1,0,0,0,0,1,0,1,0.5,7
300,1,1,1,0,1,0,0,0,2,0.5,0
301,1,1,1,0,0,0,1,0,2,0.5,0
302,1,1,1,0,0,0,1,0,2,0.5,0
303,0,1,0,0,1,0,0,0,1,0.0,0
304,0,1,1,1,1,0,1,1,3,0.5,0
305,1,1,1,0,1,0,1,0,2,0.5,3
306,1,1,0,0,1,0,0,0,1,0.5,0
307,1,1,1,1,0,0,1,1,3,1.0,0
308,0,1,0,0,1,0,0,0,1,0.0,0
309,0,1,1,0,1,0,1,0,2,0.0,21
310,0,1,0,0,1,0,0,0,2,0.0,0
311,0,1,0,0,0,0,0,0,1,0.0,5
312,1,1,0,0,0,0,1,0,1,0.5,5
313,0,1,0,0,1,0,0,0,1,0.0,0
314,1,1,1,0,0,0,1,0,2,0.5,0
315,0,0,0,0,0,0,0,0,0,0.0,0
316,1,1,0,0,0,0,1,0,1,0.5,6
317,0,1,0,0,1,0,0,0,1,0.0,6
318,1,1,0,0,1,0,0,0,1,0.5,0
319,1,1,0,0,0,0,1,0,1,0.5,0
320,1,1,1,1,0,0,1,1,3,1.0,0
321,1,1,0,0,0,0,1,0,1,0.5,0
322,0,1,0,0,1,0,0,0,1,0.0,0
323,1,1,0,0,1,0,0,0,1,0.5,0
324,0,1,0,1,1,0,1,0,2,0.5,7
325,1,1,0,0,1,0,0,0,1,0.5,0
326,0,1,0,0,1,0,0,0,1,0.0,0
327,1,0,0,0,1,0,1,0,0,0.5,0
328,1,1,0,0,0,0,1,0,1,0.5,0
329,0,0,0,0,0,0,1,0,0,0.0,0
330,1,0,0,0,0,0,1,0,0,0.5,4
331,0,1,0,0,1,0,1,0,1,0.0,0
332,1,1,0,0,0,0,1,0,1,0.5,0
333,0,1,0,0,0,0,0,0,1,0.0,0
334,1,1,0,1,0,0,1,0,2,1.0,0
335,1,1,0,0,0,0,0,0,1,0.5,0
336,1,1,0,0,0,0,0,0,1,0.5,0
337,0,1,0,0,0,0,1,0,1,0.0,0
338,1,1,0,0,0,0,0,0,1,0.5,0
339,1,0,0,0,0,0,1,0,0,0.5,4
340,1,1,0,1,0,0,1,0,2,1.0,0
341,0,1,0,0,1,0,1,0,1,0.0,0
342,1,1,0,0,0,0,0,0,1,0.5,0
343,1,1,0,0,0,0,1,0,1,0.5,0
344,1,1,0,0,0,0,1,0,1,0.5,0
345,0,1,0,0,1,0,0,0,1,0.0,0
346,1,0,0,0,0,0,0,0,0,0.5,1
347,1,1,0,0,0,0,1,0,2,0.5,11
348,0,1,0,0,1,0,1,0,1,0.0,1
349,0,1,0,0,1,0,0,0,1,0.0,3
350,0,1,0,0,1,0,1,0,1,0.0,8
351,0,1,0,0,1,0,0,0,1,0.0,6
352,0,0,0,0,1,0,1,0,0,0.0,0
353,0,0,0,0,1,0,0,0,0,0.0,5
354,1,1,0,0,0,0,0,0,1,0.5,0
355,1,1,0,0,0,0,0,0,1,0.5,0
356,0,0,0,0,1,0,0,0,0,0.0,0
357,1,1,0,0,0,0,1,0,1,0.5,0
358,1,1,0,0,0,0,0,0,1,0.5,0
359,1,1,0,1,0,0,1,0,2,1.0,0
360,0,0,0,0,0,0,1,0,0,0.0,0
361,0,0,0,0,1,0,0,0,0,0.0,0
362,1,1,0,0,0,0,1,0,1,0.5,0
363,1,1,0,1,0,0,1,0,2,1.0,0
364,1,1,0,0,0,0,0,0,1,0.5,0
365,1,1,0,0,0,0,0,0,1,0.5,0
366,0,0,0,0,1,0,0,0,0,0.0,0
367,1,0,0,0,0,0,0,0,0,0.5,0
368,1,1,0,0,0,0,0,0,1,0.5,0
370,1,1,0,1,0,0,1,0,2,1.0,0
371,0,0,0,0,1,0,0,0,0,0.0,0
372,1,1,0,1,0,0,1,0,2,1.0,0
373,1,1,0,0,0,0,1,0,1,0.5,0
374,1,1,0,1,0,0,1,0,2,1.0,0
375,1,1,0,0,0,0,1,0,1,0.5,0
376,0,0,0,0,1,0,0,0,0,0.0,0
377,1,1,0,0,0,0,1,0,1,0.5,0
378,0,1,0,0,1,0,1,0,1,0.0,16
379,0,0,0,0,1,0,0,0,0,0.0,7
380,1,1,0,0,0,0,1,0,1,0.5,5
381,0,1,0,0,1,0,0,0,1,0.0,4
382,1,1,0,0,0,0,1,0,1,0.5,5
383,0,1,0,0,0,0,0,0,1,0.0,0
384,0,0,0,0,1,0,0,0,0,0.0,0
385,0,0,0,0,0,0,1,0,0,0.0,0
386,0,0,0,0,1,0,0,0,0,0.0,0
387,1,1,0,0,0,0,1,0,1,0.5,5
388,0,0,0,0,0,0,1,0,0,0.0,0
389,0,1,0,0,0,0,0,0,1,0.0,0
390,0,1,0,0,1,0,0,0,1,0.0,2
391,0,1,0,0,1,0,1,0,1,0.0,0
392,1,1,0,0,1,0,1,0,1,0.5,4
393,0,1,0,0,1,0,0,0,1,0.0,1
394,1,1,0,0,1,0,1,0,1,0.5,4
395,0,0,0,0,1,0,0,0,0,0.0,2
396,0,1,0,0,1,0,1,0,2,0.0,4
397,0,1,0,0,1,0,0,0,1,0.0,1
398,1,1,0,0,0,0,1,0,1,0.5,0
399,1,1,0,0,0,0,0,0,1,0.5,0
400,0,0,0,0,1,0,0,0,0,0.0,0
401,1,1,0,1,0,0,1,0,2,1.0,0
403,0,1,0,0,1,0,1,0,2,0.0,8
404,0,1,0,0,1,0,1,0,1,0.0,9
405,0,1,0,0,1,0,0,0,1,0.0,4
406,0,0,0,0,1,0,0,0,0,0.0,0
407,1,1,0,0,0,0,0,0,1,0.5,0
408,0,1,0,0,1,0,0,0,1,0.0,4
409,0,0,0,0,1,0,0,0,0,0.0,7
410,1,1,0,0,1,0,1,0,2,0.5,26
411,1,1,0,0,0,0,1,0,1,0.5,16
412,1,1,0,0,0,0,1,0,1,0.5,5
413,0,0,0,0,0,0,1,0,0,0.0,0
414,0,0,0,0,1,0,0,0,0,0.0,0
415,0,1,0,0,0,0,0,0,1,0.0,0
416,0,1,0,0,1,0,1,0,2,0.0,8
417,1,0,0,0,1,0,0,0,0,0.5,5
418,0,0,0,0,0,0,1,0,0,0.0,0
419,1,1,0,0,1,0,0,0,1,0.5,7
420,1,1,0,0,0,0,1,0,1,0.5,0
421,1,1,0,0,0,0,0,0,1,0.5,0
422,0,0,0,0,1,0,0,0,0,0.0,0
423,1,1,0,1,0,0,1,0,2,1.0,0
424,1,0,0,0,1,0,0,0,0,0.5,5
425,0,1,0,0,1,0,1,0,1,0.0,0
426,0,1,0,0,0,0,0,0,1,0.0,11
427,1,1,0,0,0,0,1,0,1,0.5,0
428,1,1,0,1,0,0,1,0,2,1.0,0
429,1,1,0,0,0,0,1,0,1,0.5,0
431,0,0,0,0,1,0,0,0,0,0.0,0
432,1,1,0,0,0,0,0,0,1,0.5,13
433,1,1,0,0,0,0,1,0,1,0.5,5
434,0,0,0,0,1,0,0,0,0,0.0,7
435,1,1,0,0,0,0,1,0,1,0.5,16
436,0,0,0,0,1,0,0,0,0,0.0,0
437,1,1,0,1,0,0,1,0,2,1.0,0
438,1,1,0,0,0,0,1,0,1,0.5,0
439,1,1,0,0,0,0,0,0,1,0.5,0
440,0,0,0,0,1,0,0,0,0,0.0,0
441,0,1,0,1,1,0,1,0,3,0.5,0
442,1,1,0,0,0,0,1,0,1,0.5,6
443,0,0,0,0,1,0,0,0,1,0.0,0
444,1,1,0,0,0,0,1,0,1,0.5,0
445,0,1,0,0,1,0,1,0,1,0.0,0
446,0,1,0,0,1,0,0,0,1,0.0,0
447,0,1,0,0,1,0,0,0,1,0.0,0
448,1,1,0,1,0,0,1,0,2,1.0,0
449,0,1,0,0,1,0,0,0,1,0.0,0
450,0,1,0,0,0,0,0,0,1,0.0,0
451,1,1,0,0,1,0,1,0,2,0.5,0
452,1,1,0,0,1,0,0,0,1,0.5,6
453,1,1,0,0,0,0,1,0,1,0.5,0
454,0,1,0,0,1,0,1,0,1,0.0,7
455,1,1,0,0,1,0,0,0,1,0.5,0
456,1,1,0,0,0,0,1,0,1,0.5,0
457,0,1,0,0,1,0,0,0,2,0.0,0
458,1,1,0,1,0,0,1,0,2,1.0,0
459,0,1,0,0,1,0,0,0,1,0.0,0
460,1,1,0,0,1,0,1,0,1,0.5,0
461,1,1,0,0,0,0,0,0,1,0.5,0
462,0,1,0,0,1,0,0,0,1,0.0,4
463,1,1,0,0,0,0,1,0,1,0.5,0
464,1,1,0,0,1,1,0,0,1,0.5,0
465,0,1,0,0,1,0,0,0,1,0.0,0
466,1,1,0,0,0,1,1,0,1,0.5,7
467,1,1,0,0,0,1,1,0,1,0.5,0
468,1,1,0,0,1,1,1,0,1,0.5,0
469,0,1,0,0,1,1,1,0,1,0.0,0
470,0,1,0,0,1,0,0,0,1,0.0,0
471,1,1,0,0,0,0,0,0,1,0.5,0
472,1,1,0,0,1,0,0,0,1,0.5,0
473,0,1,0,0,1,0,0,0,2,0.0,0
474,1,1,0,0,0,1,1,0,1,0.5,0
475,0,1,0,0,1,1,1,0,1,0.0,21
476,1,1,0,0,0,1,1,0,1,0.5,0
477,1,1,0,0,0,1,1,0,1,0.5,0
478,1,1,0,0,1,0,0,0,1,0.5,0
479,0,1,0,0,1,0,0,0,1,0.0,0
480,0,1,0,0,1,0,0,0,1,0.0,0
481,1,1,0,0,1,1,1,0,2,0.5,0
482,1,1,0,0,0,0,0,0,1,0.5,0
483,0,1,0,1,1,1,1,0,2,0.5,4
484,1,1,0,0,0,0,0,0,1,0.5,0
485,1,1,0,0,0,1,1,0,1,0.5,0
486,1,1,0,0,0,1,1,0,1,0.5,5
487,1,1,0,0,1,0,0,0,1,0.5,0
488,1,1,0,0,0,1,1,0,1,0.5,0
489,1,1,0,0,0,0,0,0,1,0.5,0
490,0,1,0,0,1,1,1,0,1,0.0,11
491,0,1,0,0,1,0,0,0,1,0.0,0
492,0,1,0,0,1,0,0,0,1,0.0,5
493,1,1,0,0,1,1,1,0,1,0.5,0
494,1,0,0,0,0,1,1,0,0,0.5,5
495,0,0,0,0,1,0,0,0,0,0.0,0
496,0,1,0,0,0,0,0,0,1,0.0,2
497,0,1,0,0,1,1,1,0,1,0.0,8
498,1,1,0,0,0,1,0,0,1,0.5,0
499,0,0,0,1,1,1,1,0,2,0.5,5
500,1,1,0,0,0,1,1,0,1,0.5,0
501,1,1,0,0,0,1,0,0,1,0.5,0
502,1,1,0,0,0,1,1,0,1,0.5,0
503,1,1,0,0,0,1,0,0,1,0.5,0
504,1,1,0,0,0,1,1,0,1,0.5,0
505,1,1,0,0,0,1,0,0,1,0.5,0
506,1,1,0,0,0,1,1,0,1,0.5,0
507,1,1,0,0,0,1,0,0,1,0.5,0
508,1,1,0,0,0,1,0,0,1,0.5,0
509,0,1,0,0,1,1,0,0,1,0.0,4
510,1,1,0,0,0,1,1,0,1,0.5,4
511,1,1,0,0,0,1,1,0,1,0.5,0
512,1,1,0,0,1,1,0,0,1,0.5,0
513,1,1,0,0,0,1,0,0,1,0.5,0
514,1,1,0,0,0,1,1,0,2,0.5,7
515,1,1,0,0,0,1,1,0,1,0.5,5
516,1,1,0,0,1,1,0,0,1,0.5,0
517,1,1,0,0,0,1,1,0,1,0.5,0
518,1,1,0,0,0,1,1,0,1,0.5,0
519,1,1,0,0,0,1,0,0,1,0.5,0
520,0,1,0,0,1,1,0,0,1,0.0,0
521,1,1,0,0,1,1,0,0,1,0.5,0
522,0,1,0,0,1,1,0,0,1,0.0,2
523,1,1,0,0,0,1,1,0,1,0.5,0
524,1,1,0,0,0,1,1,0,1,0.5,7
525,1,1,0,0,1,1,0,0,1,0.5,0
526,0,1,0,0,1,1,0,0,1,0.0,8
527,1,1,0,0,0,1,1,0,1,0.5,0
528,1,1,0,1,0,1,1,0,2,1.0,0
529,0,1,0,0,1,1,0,0,2,0.0,0
530,1,1,0,0,0,1,0,0,1,0.5,0
531,1,1,0,0,0,1,0,0,1,0.5,0
532,1,1,0,1,0,1,1,0,2,1.0,0
533,0,1,0,0,0,1,1,0,1,0.0,0
534,0,1,0,0,1,1,0,0,1,0.0,0
535,1,1,0,0,1,1,0,0,1,0.5,0
536,0,0,0,0,0,1,0,0,1,0.0,6
537,0,1,0,0,0,1,0,0,1,0.0,5
538,1,1,0,1,0,1,1,0,2,1.0,0
539,1,1,0,0,0,1,1,0,1,0.5,0
540,1,1,0,0,0,1,1,0,1,0.5,0
